Process,Path Name,Disk Service Time,Size,IO Time
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\locales\zh-CN.pak,441.466,32768,441.466
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\Web Data,320.222,53248,435.600
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,289.422,32768,297.733
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,282.088,32768,282.088
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,281.111,32768,281.111
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,278.666,32768,278.666
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,278.666,32768,278.666
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,275.733,32768,275.733
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,274.266,32768,274.266
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,272.800,32768,272.800
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,265.466,32768,265.466
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,264.488,32768,264.488
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,264.000,32768,264.000
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,259.111,32768,259.111
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,257.644,32768,257.644
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,252.755,32768,252.755
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,251.288,32768,251.288
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,249.822,32768,249.822
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,249.333,32768,249.333
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,248.844,32768,248.844
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,246.888,32768,246.888
